,followers_count,in_reply_to_screen_name,created_at,text,likes,location,author,_id,retweet_count,type
4616,158,N/A,2020-03-01 08:44:24,b'RT @news_amba: The eloquent silence of world on genocide in Ambazonia empowers dictator Biya. Similar cases to Ngarbuh everyday. This is Ba\xe2\x80\xa6',0,,dstahsoh,1234036754442850304,42,Retweet
4617,158,N/A,2020-03-01 08:44:02,b'RT @Mimimefo237: Ngarbuh Massacre whistleblower killed and abandoned in Bui\n\nOther witnesses as well as survivors of the Ngarbuh massacre a\xe2\x80\xa6',0,,dstahsoh,1234036663493578754,172,Retweet
4618,158,N/A,2020-03-01 08:42:58,b'RT @pabiedu1: The int\xe2\x80\x99l community is speaking about the Ngarbuh Massacre. #SouthernCameroonians are mourning! what is next? Who will #StopT\xe2\x80\xa6',0,,dstahsoh,1234036396798697474,65,Retweet
4619,291,N/A,2020-03-01 08:39:31,b'RT @Mimimefo237: Ngarbuh Massacre whistleblower killed and abandoned in Bui\n\nOther witnesses as well as survivors of the Ngarbuh massacre a\xe2\x80\xa6',0,Africa,ConradAce1,1234035526967140354,172,Retweet
4620,2378,N/A,2020-03-01 08:39:24,b'RT @pabiedu1: The int\xe2\x80\x99l community is speaking about the Ngarbuh Massacre. #SouthernCameroonians are mourning! what is next? Who will #StopT\xe2\x80\xa6',0,Nigeria,scinga2017,1234035495858003975,37,Retweet
4621,158,N/A,2020-03-01 08:38:24,"b'RT @AbcAmbaTV: This day 28th February 2020,\n\nWE, \n#SouthernCameroons #Ambazonians\n\nmourn our families, women and children esp those massacr\xe2\x80\xa6'",0,,dstahsoh,1234035245046992896,42,Retweet
4622,158,N/A,2020-03-01 08:38:08,"b'RT @pabiedu1: Today, Feb. 28, 2020, we the #SouthernCameroonians in #LosAngeles observed our National Day of Mourning at @RepKarenBass offi\xe2\x80\xa6'",0,,dstahsoh,1234035179846586369,78,Retweet
4623,2,N/A,2020-03-01 08:36:52,b'RT @AmbeT1978: Let the world see how la republique military is working together with the fake amba boys sponsored by #atanganji . This is h\xe2\x80\xa6',0,Cameroon,AmbalandB,1234034860945133568,73,Retweet
4624,0,N/A,2020-03-01 08:28:31,"b'RT @apeterbruce: #FoulPlay\nKey eyewitness of de #Ngarbuh @massacre on @VDay 2020in #Ambazonia,Mallam Danjuma has been killed by BIRs.\n#Mean\xe2\x80\xa6'",0,,Nizeman1,1234032758059606016,52,Retweet
4625,580,N/A,2020-03-01 08:27:24,"b""RT @CMRNewsAgency: Gov't orders the execution of Danjuma, one of the main persons who informed the @UN and @HRW  on the Ngarbuh massacre by\xe2\x80\xa6""",0,,ShipBroker15,1234032477108346881,201,Retweet
4626,2378,N/A,2020-03-01 08:27:16,"b'RT @sabastianyuven: Breaking:Mallam Danjuma alias DG, who granted an interview to the UN humanitarian persons about the Ngarbuh massacre in\xe2\x80\xa6'",0,Nigeria,scinga2017,1234032445911109637,22,Retweet
4627,32,N/A,2020-03-01 08:23:49,b'RT @Mimimefo237: Ngarbuh Massacre whistleblower killed and abandoned in Bui\n\nOther witnesses as well as survivors of the Ngarbuh massacre a\xe2\x80\xa6',0,Cameroon,stephanienjayou,1234031574477398018,172,Retweet
